Date, Opening price, Predicted closing price, Actual closing price 
14-09-19,[ 92.699997],[ 92.34999709], [ 93.889999]
14-09-22,[ 92.699997],[ 93.18126506], [ 89.889999]
14-09-23,[ 88.940002],[ 88.86785175], [ 87.169998]
14-09-24,[ 88.470001],[ 87.88198543], [ 90.57]
14-09-25,[ 91.089996],[ 90.67114584], [ 88.919998]
14-09-26,[ 89.730003],[ 89.83747023], [ 90.459999]
14-09-29,[ 89.620003],[ 89.38635132], [ 88.75]
14-09-30,[ 89.],[ 88.69192008], [ 88.849998]
14-10-01,[ 88.699997],[ 88.44005918], [ 86.099998]
14-10-02,[ 86.269997],[ 86.21351046], [ 87.059998]
14-10-03,[ 88.099998],[ 87.73670185], [ 88.099998]
14-10-06,[ 89.150002],[ 88.95540384], [ 88.309998]
14-10-07,[ 87.949997],[ 87.83508569], [ 87.669998]
14-10-08,[ 88.],[ 87.65870801], [ 88.300003]
14-10-09,[ 88.510002],[ 88.17721588], [ 88.790001]
14-10-10,[ 88.25],[ 88.04289955], [ 85.879997]
14-10-13,[ 86.849998],[ 86.67708468], [ 85.120003]
14-10-14,[ 85.809998],[ 85.59965177], [ 84.949997]
14-10-15,[ 84.040001],[ 83.96088576], [ 85.599998]
14-10-16,[ 84.980003],[ 84.77525482], [ 88.849998]
14-10-17,[ 90.400002],[ 90.14313232], [ 87.910004]
14-10-20,[ 88.],[ 88.03943959], [ 88.260002]
14-10-21,[ 89.099998],[ 88.55862535], [ 90.900002]
14-10-22,[ 92.25],[ 91.75645763], [ 91.629997]
14-10-23,[ 92.919998],[ 92.94329684], [ 94.449997]
14-10-24,[ 95.07],[ 94.94667107], [ 95.760002]
14-10-27,[ 97.],[ 96.94761394], [ 97.790001]
14-10-28,[ 99.839996],[ 99.90066212], [ 99.68]
14-10-29,[ 99.879997],[ 100.25366485], [ 98.309998]
14-10-30,[ 98.480003],[ 98.5726541], [ 98.730003]
14-10-31,[ 100.099998],[ 99.56495367], [ 98.599998]
14-11-03,[ 99.669998],[ 99.62086058], [ 101.800003]
14-11-04,[ 100.425003],[ 100.27313562], [ 106.07]
14-11-05,[ 108.480003],[ 107.82514907], [ 108.669998]
14-11-06,[ 109.300003],[ 110.69687813], [ 111.57]
14-11-07,[ 112.93],[ 113.23390502], [ 114.559998]
14-11-10,[ 117.269997],[ 116.88281657], [ 119.150002]
14-11-11,[ 117.25],[ 117.26410786], [ 114.540001]
14-11-12,[ 115.050003],[ 114.66886103], [ 118.199997]
14-11-13,[ 119.300003],[ 116.64281396], [ 114.839996]
14-11-14,[ 115.059998],[ 114.13984782], [ 115.099998]
14-11-17,[ 115.440002],[ 113.46109162], [ 114.25]
14-11-18,[ 114.330002],[ 112.9465356], [ 110.809998]
14-11-19,[ 109.830002],[ 109.5431013], [ 108.82]
14-11-20,[ 107.809998],[ 107.5253071], [ 109.82]
14-11-21,[ 113.209999],[ 111.72342304], [ 110.730003]
14-11-24,[ 112.],[ 112.13348882], [ 113.919998]
14-11-25,[ 114.940002],[ 113.79289301], [ 113.470001]
14-11-26,[ 113.330002],[ 112.71236252], [ 112.669998]
